pair_id,final_feasibility,confidence,n_all_votes,score_composite,score_entropy,score_bayesian,score_borda,score_ensemble,rank_composite,rank_entropy,rank_bayesian,rank_borda,rank_ensemble,rank_std
FOODAPS_0590,F2,LOW,5,0.66,0.026646089033290018,0.6277142857142858,0.6,0.37714573496237136,1577.0,1593.0,276.0,101.0,307.0,809.455115082568
CPS_0502,F3,MODERATE,6,0.67,0.026195454214279334,0.67425,0.6666666666666666,0.4101464790567131,1522.0,1595.0,252.0,95.0,302.0,802.748196302344
CPS_0017,F2,LOW,6,0.66,0.28181528992858434,0.79925,0.6666666666666666,0.5156316297422576,1577.0,1250.0,1.0,95.0,282.0,800.5149904904966
CPS_1063,F3,MODERATE,5,0.67,0.013124193105948815,0.6277142857142858,0.6,0.37465663456393794,1522.0,1596.0,276.0,101.0,309.0,795.0515182468786
CPS_1067,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1259.0,94.0,62.0,275.0,784.5750442118332
CPS_1068,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1259.0,94.0,62.0,275.0,784.5750442118332
FOODAPS_0165,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1259.0,94.0,62.0,275.0,784.5750442118332
FOODAPS_0326,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1259.0,94.0,62.0,275.0,784.5750442118332
FOODAPS_0330,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1259.0,94.0,62.0,275.0,784.5750442118332
FOODAPS_0446,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1259.0,94.0,62.0,275.0,784.5750442118332
CPS_0422,F1,LOW,6,0.99,0.07938016428569494,0.54925,0.5833333333333334,0.391082025641725,1516.0,1589.0,306.0,129.0,304.0,774.7158618917433
FOODAPS_0140,F3,LOW,5,0.33,0.17968964804881357,0.6277142857142858,0.8,0.43501656948462225,1593.0,1345.0,276.0,62.0,299.0,762.3756729242261
CPS_1052,F2,LOW,5,0.66,0.3648244369475912,0.7705714285714286,0.9,0.5854337050415394,1577.0,219.0,94.0,38.0,241.0,733.9105304236114
FOODAPS_0608,F2,LOW,5,0.66,0.3648244369475912,0.7705714285714286,0.9,0.5854337050415394,1577.0,219.0,94.0,38.0,241.0,733.9105304236114
CPS_0912,F3,MODERATE,5,0.67,0.013124193105948815,0.4848571428571429,0.4,0.27703758694489033,1522.0,1596.0,312.0,284.0,334.0,728.7548741975361
FOODAPS_0390,F3,MODERATE,5,0.67,0.013124193105948815,0.4848571428571429,0.4,0.27703758694489033,1522.0,1596.0,312.0,284.0,334.0,728.7548741975361
CPS_1036,F3,LOW,5,0.33,0.12784146563451643,0.4848571428571429,0.3,0.24926309754082687,1593.0,1551.0,312.0,315.0,337.0,726.798630983851
FOODAPS_0404,F3,LOW,5,0.33,0.12784146563451643,0.4848571428571429,0.3,0.24926309754082687,1593.0,1551.0,312.0,315.0,337.0,726.798630983851
FOODAPS_0485,F3,LOW,5,0.33,0.12784146563451643,0.4848571428571429,0.3,0.24926309754082687,1593.0,1551.0,312.0,315.0,337.0,726.798630983851
CPS_0105,F1,LOW,6,0.99,0.36907024642854247,0.79925,0.75,0.5894676735923461,1516.0,216.0,1.0,77.0,238.0,714.5667685154878
